Featureid,Description,Exciter/Delighter,Desired,Required,Neutral,Questionable,Anti-feature,Dissatisfaction,INVESTMENT,Satisfaction
6,Save files,0.02,0.06,0.91,0.02,0.01,0.00,-0.96039604,0.96,0.08
11,Create very large documents,0.06,0.30,0.60,0.02,0.01,0.01,-0.918367347,0.92,0.37
25,Required feature,0.04,0.20,0.56,0.03,0.10,0.07,-0.915662651,0.92,0.29
7,Required/Desired feature,0.10,0.40,0.44,0.06,0.00,0.00,-0.84,0.84,0.50
12,Required feature,0.14,0.31,0.38,0.10,0.05,0.02,-0.741935484,0.74,0.48
16,Required feature,0.09,0.22,0.44,0.23,0.02,0.00,-0.673469388,0.67,0.32
9,"Desired, gimme more of this!",0.29,0.50,0.15,0.05,0.01,0.00,-0.656565657,0.66,0.80
19,"Desired, gimme more of this!",0.21,0.33,0.12,0.09,0.10,0.15,-0.6,0.60,0.72
30,Desired and delightful!,0.33,0.32,0.20,0.05,0.10,0.00,-0.577777778,0.58,0.72
1,"Desired, gimme some more!",0.23,0.36,0.15,0.15,0.10,0.01,-0.573033708,0.57,0.66
21,Give it to me if you can!,0.12,0.22,0.09,0.20,0.15,0.22,-0.492063492,0.49,0.54
5,I'd like this,0.33,0.22,0.22,0.15,0.06,0.02,-0.47826087,0.48,0.60
3,I'd like this,0.33,0.27,0.15,0.15,0.05,0.05,-0.466666667,0.47,0.67
18,I didn't know I'd want this,0.52,0.16,0.20,0.06,0.04,0.02,-0.382978723,0.38,0.72
13,I didn't know I'd want this,0.48,0.26,0.10,0.15,0.00,0.01,-0.363636364,0.36,0.75
17,I didn't know I'd want this,0.58,0.19,0.12,0.03,0.08,0.00,-0.336956522,0.34,0.84
14,I didn't know I'd want this,0.69,0.30,0.01,0.00,0.00,0.00,-0.31,0.31,0.99
2,I didn't know I'd want this,0.56,0.19,0.10,0.10,0.05,0.00,-0.305263158,0.31,0.79
29,I didn't know I'd want this,0.41,0.22,0.05,0.30,0.00,0.02,-0.275510204,0.28,0.64
27,I didn't know I'd want this,0.39,0.12,0.14,0.30,0.04,0.01,-0.273684211,0.27,0.54
22,I didn't know I'd want this,0.40,0.17,0.03,0.20,0.10,0.10,-0.25,0.25,0.71
26,I didn't know I'd want this,0.20,0.10,0.14,0.52,0.02,0.02,-0.25,0.25,0.31
15,I didn't know I'd want this,0.35,0.17,0.03,0.35,0.05,0.05,-0.222222222,0.22,0.58
8,Wow!,0.77,0.15,0.06,0.02,0.00,0.00,-0.21,0.21,0.92
4,Wow!,0.80,0.15,0.04,0.01,0.00,0.00,-0.19,0.19,0.95
20,Wow!,0.79,0.12,0.05,0.03,0.01,0.00,-0.171717172,0.17,0.92
23,Blegh,0.15,0.10,0.02,0.66,0.00,0.07,-0.129032258,0.13,0.27
10,Wow!,0.56,0.02,0.02,0.40,0.00,0.00,-0.04,0.04,0.58
24,Wow!,0.86,0.00,0.00,0.10,0.02,0.02,0,0.00,0.90
28,Don't do this!!!,0.07,0.00,0.00,0.23,0.15,0.54,0,0.00,0.23
